age,weight,height,gender,goal,level,steps,location,mon,tue,wed,thu,fri,sat,sun
49,60,175,F,Масса,Начинающий,4956,Улица,Прогулка 60 мин,Прогулка 60 мин,Прыжки через скакалку 3x1 мин,Вело 40 мин,Вело 40 мин,Кардио 30 мин,Отжимания на турнике 3x10
19,82,184,M,Масса,Продвинутый,10722,Улица,Прогулка 60 мин,Прыжки через скакалку 3x1 мин,Бег 30 мин,Кардио 30 мин,Кардио 30 мин,Прыжки через скакалку 3x1 мин,Скандинавская ходьба 45 мин
46,94,180,M,Масса,Средний,5803,Улица,Прыжки через скакалку 3x1 мин,Вело 40 мин,Бег 30 мин,Бег 30 мин,Бег 30 мин,Прогулка 60 мин,Скандинавская ходьба 45 мин
48,68,165,F,Масса,Начинающий,6315,Улица,Прогулка 60 мин,Вело 40 мин,Отжимания на турнике 3x10,Прогулка 60 мин,Скандинавская ходьба 45 мин,Бег 30 мин,Прогулка 60 мин
34,71,188,M,Масса,Продвинутый,7764,Улица,Отжимания на турнике 3x10,Прогулка 60 мин,Скандинавская ходьба 45 мин,Кардио 30 мин,Бег 30 мин,Кардио 30 мин,Отжимания на турнике 3x10
30,62,192,F,Масса,Продвинутый,7741,Улица,Бег 30 мин,Бег 30 мин,Прыжки через скакалку 3x1 мин,Скандинавская ходьба 45 мин,Отжимания на турнике 3x10,Скандинавская ходьба 45 мин,Прогулка 60 мин
33,84,180,M,Масса,Средний,6151,Улица,Прыжки через скакалку 3x1 мин,Бег 30 мин,Кардио 30 мин,Отжимания на турнике 3x10,Бег 30 мин,Отжимания на турнике 3x10,Прогулка 60 мин
27,87,175,M,Масса,Продвинутый,11809,Улица,Бег 30 мин,Кардио 30 мин,Скандинавская ходьба 45 мин,Прыжки через скакалку 3x1 мин,Отжимания на турнике 3x10,Бег 30 мин,Скандинавская ходьба 45 мин
18,77,188,F,Масса,Начинающий,4752,Улица,Скандинавская ходьба 45 мин,Кардио 30 мин,Отжимания на турнике 3x10,Бег 30 мин,Отжимания на турнике 3x10,Кардио 30 мин,Прыжки через скакалку 3x1 мин
38,79,192,M,Масса,Средний,9540,Улица,Кардио 30 мин,Кардио 30 мин,Отжимания на турнике 3x10,Вело 40 мин,Прогулка 60 мин,Прогулка 60 мин,Прогулка 60 мин
19,75,178,F,Масса,Начинающий,6915,Улица,Бег 30 мин,Прыжки через скакалку 3x1 мин,Бег 30 мин,Бег 30 мин,Вело 40 мин,Вело 40 мин,Кардио 30 мин
43,60,178,M,Масса,Продвинутый,10114,Улица,Отжимания на турнике 3x10,Вело 40 мин,Отжимания на турнике 3x10,Отжимания на турнике 3x10,Кардио 30 мин,Отжимания на турнике 3x10,Скандинавская ходьба 45 мин
48,73,192,M,Масса,Продвинутый,10113,Улица,Отжимания на турнике 3x10,Вело 40 мин,Прыжки через скакалку 3x1 мин,Вело 40 мин,Прогулка 60 мин,Прыжки через скакалку 3x1 мин,Бег 30 мин
43,81,187,M,Масса,Продвинутый,8336,Улица,Отжимания на турнике 3x10,Скандинавская ходьба 45 мин,Бег 30 мин,Прыжки через скакалку 3x1 мин,Скандинавская ходьба 45 мин,Отжимания на турнике 3x10,Скандинавская ходьба 45 мин
54,59,162,F,Масса,Средний,9936,Улица,Отжимания на турнике 3x10,Вело 40 мин,Кардио 30 мин,Прогулка 60 мин,Вело 40 мин,Вело 40 мин,Скандинавская ходьба 45 мин
34,66,162,M,Масса,Начинающий,10658,Улица,Вело 40 мин,Скандинавская ходьба 45 мин,Прогулка 60 мин,Бег 30 мин,Вело 40 мин,Прыжки через скакалку 3x1 мин,Прогулка 60 мин
41,78,185,F,Масса,Продвинутый,8846,Улица,Прогулка 60 мин,Скандинавская ходьба 45 мин,Вело 40 мин,Вело 40 мин,Кардио 30 мин,Кардио 30 мин,Скандинавская ходьба 45 мин
52,63,175,M,Масса,Продвинутый,7304,Улица,Вело 40 мин,Прыжки через скакалку 3x1 мин,Вело 40 мин,Кардио 30 мин,Бег 30 мин,Вело 40 мин,Кардио 30 мин
48,77,162,F,Масса,Начинающий,5755,Улица,Прыжки через скакалку 3x1 мин,Прогулка 60 мин,Вело 40 мин,Скандинавская ходьба 45 мин,Скандинавская ходьба 45 мин,Кардио 30 мин,Вело 40 мин
35,92,163,M,Масса,Начинающий,4871,Улица,Кардио 30 мин,Бег 30 мин,Бег 30 мин,Скандинавская ходьба 45 мин,Кардио 30 мин,Прыжки через скакалку 3x1 мин,Прыжки через скакалку 3x1 мин
39,78,191,F,Масса,Продвинутый,6113,Улица,Бег 30 мин,Бег 30 мин,Кардио 30 мин,Скандинавская ходьба 45 мин,Прыжки через скакалку 3x1 мин,Прогулка 60 мин,Скандинавская ходьба 45 мин
45,83,185,M,Масса,Продвинутый,7805,Улица,Кардио 30 мин,Вело 40 мин,Прыжки через скакалку 3x1 мин,Вело 40 мин,Вело 40 мин,Бег 30 мин,Бег 30 мин
26,79,160,F,Масса,Продвинутый,7399,Улица,Кардио 30 мин,Прогулка 60 мин,Отжимания на турнике 3x10,Прыжки через скакалку 3x1 мин,Прогулка 60 мин,Прыжки через скакалку 3x1 мин,Прогулка 60 мин
24,76,189,M,Масса,Продвинутый,9892,Улица,Прогулка 60 мин,Прогулка 60 мин,Прыжки через скакалку 3x1 мин,Прыжки через скакалку 3x1 мин,Прогулка 60 мин,Вело 40 мин,Отжимания на турнике 3x10
47,90,160,M,Масса,Продвинутый,5797,Улица,Прогулка 60 мин,Прыжки через скакалку 3x1 мин,Отжимания на турнике 3x10,Прогулка 60 мин,Вело 40 мин,Прыжки через скакалку 3x1 мин,Вело 40 мин
39,85,185,F,Масса,Средний,5902,Улица,Вело 40 мин,Прыжки через скакалку 3x1 мин,Кардио 30 мин,Скандинавская ходьба 45 мин,Отжимания на турнике 3x10,Отжимания на турнике 3x10,Прогулка 60 мин
19,78,192,F,Масса,Начинающий,5768,Улица,Прыжки через скакалку 3x1 мин,Отжимания на турнике 3x10,Прогулка 60 мин,Кардио 30 мин,Прыжки через скакалку 3x1 мин,Вело 40 мин,Скандинавская ходьба 45 мин
35,80,193,M,Масса,Средний,9834,Улица,Отжимания на турнике 3x10,Отжимания на турнике 3x10,Бег 30 мин,Скандинавская ходьба 45 мин,Кардио 30 мин,Отжимания на турнике 3x10,Кардио 30 мин
20,74,160,F,Масса,Средний,7840,Улица,Отжимания на турнике 3x10,Скандинавская ходьба 45 мин,Бег 30 мин,Бег 30 мин,Вело 40 мин,Прогулка 60 мин,Вело 40 мин
25,75,193,M,Масса,Продвинутый,8012,Улица,Скандинавская ходьба 45 мин,Вело 40 мин,Отжимания на турнике 3x10,Прыжки через скакалку 3x1 мин,Прыжки через скакалку 3x1 мин,Прыжки через скакалку 3x1 мин,Кардио 30 мин
36,64,185,F,Масса,Начинающий,4605,Улица,Отжимания на турнике 3x10,Отжимания на турнике 3x10,Отжимания на турнике 3x10,Прогулка 60 мин,Вело 40 мин,Прыжки через скакалку 3x1 мин,Прогулка 60 мин
37,95,192,F,Масса,Начинающий,7148,Улица,Бег 30 мин,Вело 40 мин,Прогулка 60 мин,Прогулка 60 мин,Бег 30 мин,Отжимания на турнике 3x10,Кардио 30 мин
18,56,167,M,Масса,Средний,7040,Улица,Бег 30 мин,Прогулка 60 мин,Отжимания на турнике 3x10,Прогулка 60 мин,Бег 30 мин,Отжимания на турнике 3x10,Прогулка 60 мин
29,59,173,M,Масса,Начинающий,8844,Улица,Прыжки через скакалку 3x1 мин,Вело 40 мин,Прогулка 60 мин,Бег 30 мин,Прыжки через скакалку 3x1 мин,Прыжки через скакалку 3x1 мин,Скандинавская ходьба 45 мин
26,55,175,F,Масса,Начинающий,10329,Улица,Кардио 30 мин,Бег 30 мин,Прогулка 60 мин,Вело 40 мин,Прогулка 60 мин,Прыжки через скакалку 3x1 мин,Прыжки через скакалку 3x1 мин
55,78,178,F,Масса,Начинающий,6879,Улица,Бег 30 мин,Бег 30 мин,Прыжки через скакалку 3x1 мин,Скандинавская ходьба 45 мин,Бег 30 мин,Скандинавская ходьба 45 мин,Скандинавская ходьба 45 мин
25,64,165,M,Масса,Продвинутый,4236,Улица,Отжимания на турнике 3x10,Отжимания на турнике 3x10,Бег 30 мин,Бег 30 мин,Скандинавская ходьба 45 мин,Вело 40 мин,Бег 30 мин
44,86,171,M,Масса,Начинающий,6718,Улица,Бег 30 мин,Прогулка 60 мин,Вело 40 мин,Скандинавская ходьба 45 мин,Отжимания на турнике 3x10,Прогулка 60 мин,Прогулка 60 мин
34,62,190,F,Масса,Начинающий,6495,Улица,Бег 30 мин,Отжимания на турнике 3x10,Отжимания на турнике 3x10,Кардио 30 мин,Прогулка 60 мин,Бег 30 мин,Кардио 30 мин
18,55,176,M,Масса,Средний,11195,Улица,Прыжки через скакалку 3x1 мин,Вело 40 мин,Кардио 30 мин,Отжимания на турнике 3x10,Бег 30 мин,Вело 40 мин,Вело 40 мин
29,69,189,F,Масса,Средний,11808,Улица,Отжимания на турнике 3x10,Прыжки через скакалку 3x1 мин,Бег 30 мин,Бег 30 мин,Прогулка 60 мин,Скандинавская ходьба 45 мин,Бег 30 мин
42,86,161,F,Масса,Средний,11909,Улица,Прыжки через скакалку 3x1 мин,Вело 40 мин,Скандинавская ходьба 45 мин,Скандинавская ходьба 45 мин,Прыжки через скакалку 3x1 мин,Вело 40 мин,Кардио 30 мин
31,76,190,M,Масса,Начинающий,9054,Улица,Вело 40 мин,Скандинавская ходьба 45 мин,Скандинавская ходьба 45 мин,Прогулка 60 мин,Прогулка 60 мин,Прогулка 60 мин,Бег 30 мин
20,83,184,F,Масса,Продвинутый,7434,Улица,Отжимания на турнике 3x10,Прогулка 60 мин,Прыжки через скакалку 3x1 мин,Прыжки через скакалку 3x1 мин,Прыжки через скакалку 3x1 мин,Скандинавская ходьба 45 мин,Кардио 30 мин
24,90,173,M,Масса,Средний,6742,Улица,Кардио 30 мин,Отжимания на турнике 3x10,Кардио 30 мин,Кардио 30 мин,Прогулка 60 мин,Бег 30 мин,Прогулка 60 мин
51,75,188,M,Масса,Средний,7414,Улица,Прыжки через скакалку 3x1 мин,Прыжки через скакалку 3x1 мин,Кардио 30 мин,Прыжки через скакалку 3x1 мин,Кардио 30 мин,Кардио 30 мин,Бег 30 мин
24,77,192,M,Масса,Продвинутый,9000,Улица,Прогулка 60 мин,Прогулка 60 мин,Отжимания на турнике 3x10,Отжимания на турнике 3x10,Бег 30 мин,Прыжки через скакалку 3x1 мин,Отжимания на турнике 3x10
43,74,182,F,Похудение,Начинающий,9552,Зал,Бег 20 мин,Присед 4x10,Плавание 45 мин,Растяжка 15 мин,Гиперэкстензия 3x15,Растяжка 15 мин,Растяжка 15 мин
25,84,163,M,Похудение,Начинающий,10696,Зал,Функционалка 30 мин,Бег 20 мин,Жим лёжа 4x8,Йога 30 мин,Растяжка 15 мин,Растяжка 15 мин,Плавание 45 мин
48,57,165,F,Похудение,Средний,11311,Зал,Бег 20 мин,Плавание 45 мин,Кардио 30 мин,Тяга штанги в наклоне 4x10,Растяжка 15 мин,Шраги 3x12,Шраги 3x12
18,85,180,M,Похудение,Продвинутый,10035,Зал,Плавание 45 мин,Йога 30 мин,Йога 30 мин,Плавание 45 мин,Присед 4x10,Тяга штанги в наклоне 4x10,Растяжка 15 мин
39,93,179,F,Похудение,Начинающий,12000,Зал,Йога 30 мин,Кардио 30 мин,Тяга штанги в наклоне 4x10,Жим лёжа 4x8,Йога 30 мин,Растяжка 15 мин,Функционалка 30 мин
39,89,192,F,Похудение,Продвинутый,5420,Зал,Гиперэкстензия 3x15,Присед 4x10,Присед 4x10,Кардио 30 мин,Плавание 45 мин,Гиперэкстензия 3x15,Гиперэкстензия 3x15
45,62,183,M,Похудение,Средний,4384,Зал,Шраги 3x12,Функционалка 30 мин,Йога 30 мин,Функционалка 30 мин,Кардио 30 мин,Йога 30 мин,Йога 30 мин
21,83,172,M,Похудение,Начинающий,8424,Зал,Жим лёжа 4x8,Кардио 30 мин,Присед 4x10,Гиперэкстензия 3x15,Жим лёжа 4x8,Тяга штанги в наклоне 4x10,Функционалка 30 мин
54,81,172,F,Похудение,Продвинутый,4931,Зал,Тяга штанги в наклоне 4x10,Йога 30 мин,Тяга штанги в наклоне 4x10,Присед 4x10,Присед 4x10,Функционалка 30 мин,Гиперэкстензия 3x15
27,94,183,M,Похудение,Средний,11180,Зал,Йога 30 мин,Тяга штанги в наклоне 4x10,Функционалка 30 мин,Плавание 45 мин,Функционалка 30 мин,Присед 4x10,Кардио 30 мин
39,61,181,F,Похудение,Средний,9709,Зал,Функционалка 30 мин,Функционалка 30 мин,Жим лёжа 4x8,Шраги 3x12,Плавание 45 мин,Тяга штанги в наклоне 4x10,Шраги 3x12
46,93,183,M,Похудение,Начинающий,10713,Зал,Тяга штанги в наклоне 4x10,Шраги 3x12,Растяжка 15 мин,Йога 30 мин,Шраги 3x12,Растяжка 15 мин,Йога 30 мин
35,76,176,F,Похудение,Средний,7686,Зал,Бег 20 мин,Йога 30 мин,Тяга штанги в наклоне 4x10,Бег 20 мин,Растяжка 15 мин,Йога 30 мин,Бег 20 мин
53,67,195,M,Похудение,Продвинутый,9828,Зал,Плавание 45 мин,Функционалка 30 мин,Шраги 3x12,Жим лёжа 4x8,Шраги 3x12,Бег 20 мин,Шраги 3x12
50,78,171,M,Похудение,Начинающий,4585,Зал,Шраги 3x12,Гиперэкстензия 3x15,Функционалка 30 мин,Плавание 45 мин,Бег 20 мин,Присед 4x10,Растяжка 15 мин
30,90,167,M,Похудение,Продвинутый,11614,Зал,Гиперэкстензия 3x15,Йога 30 мин,Функционалка 30 мин,Присед 4x10,Растяжка 15 мин,Тяга штанги в наклоне 4x10,Гиперэкстензия 3x15
33,93,171,M,Похудение,Начинающий,6837,Зал,Бег 20 мин,Тяга штанги в наклоне 4x10,Присед 4x10,Растяжка 15 мин,Функционалка 30 мин,Плавание 45 мин,Присед 4x10
37,91,174,F,Похудение,Начинающий,10436,Зал,Бег 20 мин,Присед 4x10,Присед 4x10,Гиперэкстензия 3x15,Жим лёжа 4x8,Растяжка 15 мин,Плавание 45 мин
45,56,182,M,Похудение,Продвинутый,7759,Зал,Кардио 30 мин,Жим лёжа 4x8,Гиперэкстензия 3x15,Функционалка 30 мин,Функционалка 30 мин,Гиперэкстензия 3x15,Шраги 3x12
32,56,190,F,Похудение,Начинающий,11073,Зал,Кардио 30 мин,Бег 20 мин,Бег 20 мин,Присед 4x10,Кардио 30 мин,Функционалка 30 мин,Йога 30 мин
24,88,191,F,Похудение,Продвинутый,10707,Зал,Присед 4x10,Тяга штанги в наклоне 4x10,Тяга штанги в наклоне 4x10,Бег 20 мин,Жим лёжа 4x8,Присед 4x10,Присед 4x10
36,70,172,F,Похудение,Продвинутый,4316,Зал,Гиперэкстензия 3x15,Кардио 30 мин,Жим лёжа 4x8,Тяга штанги в наклоне 4x10,Плавание 45 мин,Гиперэкстензия 3x15,Тяга штанги в наклоне 4x10
38,65,180,M,Похудение,Продвинутый,7198,Зал,Йога 30 мин,Растяжка 15 мин,Растяжка 15 мин,Шраги 3x12,Бег 20 мин,Кардио 30 мин,Шраги 3x12
53,84,194,F,Похудение,Продвинутый,6844,Зал,Растяжка 15 мин,Бег 20 мин,Плавание 45 мин,Бег 20 мин,Тяга штанги в наклоне 4x10,Йога 30 мин,Тяга штанги в наклоне 4x10
18,69,168,M,Похудение,Начинающий,7514,Зал,Бег 20 мин,Кардио 30 мин,Бег 20 мин,Бег 20 мин,Плавание 45 мин,Шраги 3x12,Гиперэкстензия 3x15
52,91,191,M,Похудение,Начинающий,7743,Зал,Тяга штанги в наклоне 4x10,Жим лёжа 4x8,Растяжка 15 мин,Йога 30 мин,Гиперэкстензия 3x15,Гиперэкстензия 3x15,Присед 4x10
19,82,169,F,Похудение,Средний,11704,Зал,Плавание 45 мин,Функционалка 30 мин,Жим лёжа 4x8,Йога 30 мин,Гиперэкстензия 3x15,Растяжка 15 мин,Кардио 30 мин
33,73,171,M,Похудение,Продвинутый,4303,Зал,Тяга штанги в наклоне 4x10,Растяжка 15 мин,Кардио 30 мин,Йога 30 мин,Кардио 30 мин,Растяжка 15 мин,Бег 20 мин
22,64,192,M,Похудение,Средний,4390,Зал,Гиперэкстензия 3x15,Бег 20 мин,Бег 20 мин,Плавание 45 мин,Растяжка 15 мин,Бег 20 мин,Тяга штанги в наклоне 4x10
42,74,168,F,Похудение,Средний,6058,Зал,Плавание 45 мин,Тяга штанги в наклоне 4x10,Тяга штанги в наклоне 4x10,Тяга штанги в наклоне 4x10,Гиперэкстензия 3x15,Бег 20 мин,Присед 4x10
45,95,160,F,Похудение,Продвинутый,11333,Зал,Шраги 3x12,Плавание 45 мин,Присед 4x10,Йога 30 мин,Шраги 3x12,Функционалка 30 мин,Бег 20 мин
37,56,171,F,Похудение,Продвинутый,9611,Зал,Растяжка 15 мин,Гиперэкстензия 3x15,Йога 30 мин,Бег 20 мин,Присед 4x10,Гиперэкстензия 3x15,Присед 4x10
52,84,179,F,Похудение,Продвинутый,5648,Зал,Жим лёжа 4x8,Йога 30 мин,Жим лёжа 4x8,Йога 30 мин,Присед 4x10,Растяжка 15 мин,Кардио 30 мин
24,68,184,F,Похудение,Продвинутый,6698,Зал,Кардио 30 мин,Жим лёжа 4x8,Бег 20 мин,Йога 30 мин,Гиперэкстензия 3x15,Гиперэкстензия 3x15,Бег 20 мин
36,92,167,F,Похудение,Средний,11106,Зал,Жим лёжа 4x8,Шраги 3x12,Йога 30 мин,Тяга штанги в наклоне 4x10,Присед 4x10,Растяжка 15 мин,Жим лёжа 4x8
28,65,162,M,Похудение,Начинающий,8352,Зал,Гиперэкстензия 3x15,Плавание 45 мин,Растяжка 15 мин,Плавание 45 мин,Растяжка 15 мин,Бег 20 мин,Кардио 30 мин
24,87,162,M,Похудение,Начинающий,10305,Зал,Йога 30 мин,Шраги 3x12,Плавание 45 мин,Кардио 30 мин,Жим лёжа 4x8,Присед 4x10,Растяжка 15 мин
48,91,187,F,Похудение,Продвинутый,4012,Зал,Шраги 3x12,Гиперэкстензия 3x15,Тяга штанги в наклоне 4x10,Бег 20 мин,Йога 30 мин,Кардио 30 мин,Функционалка 30 мин
37,61,167,M,Похудение,Начинающий,5829,Зал,Растяжка 15 мин,Растяжка 15 мин,Шраги 3x12,Йога 30 мин,Гиперэкстензия 3x15,Тяга штанги в наклоне 4x10,Функционалка 30 мин
48,69,162,F,Похудение,Начинающий,11366,Зал,Функционалка 30 мин,Жим лёжа 4x8,Бег 20 мин,Гиперэкстензия 3x15,Гиперэкстензия 3x15,Шраги 3x12,Тяга штанги в наклоне 4x10
24,61,172,M,Похудение,Продвинутый,8008,Зал,Растяжка 15 мин,Гиперэкстензия 3x15,Тяга штанги в наклоне 4x10,Бег 20 мин,Гиперэкстензия 3x15,Растяжка 15 мин,Функционалка 30 мин
32,93,185,F,Похудение,Средний,6471,Зал,Растяжка 15 мин,Гиперэкстензия 3x15,Жим лёжа 4x8,Функционалка 30 мин,Плавание 45 мин,Плавание 45 мин,Йога 30 мин
24,74,173,F,Похудение,Начинающий,5234,Зал,Бег 20 мин,Плавание 45 мин,Жим лёжа 4x8,Шраги 3x12,Присед 4x10,Шраги 3x12,Присед 4x10
34,74,183,M,Похудение,Продвинутый,6318,Зал,Шраги 3x12,Гиперэкстензия 3x15,Шраги 3x12,Плавание 45 мин,Функционалка 30 мин,Гиперэкстензия 3x15,Кардио 30 мин
54,58,188,F,Похудение,Продвинутый,10891,Зал,Гиперэкстензия 3x15,Плавание 45 мин,Растяжка 15 мин,Функционалка 30 мин,Кардио 30 мин,Бег 20 мин,Жим лёжа 4x8
46,59,192,F,Похудение,Средний,9422,Зал,Плавание 45 мин,Растяжка 15 мин,Растяжка 15 мин,Функционалка 30 мин,Бег 20 мин,Шраги 3x12,Присед 4x10
32,77,184,M,Похудение,Продвинутый,6902,Зал,Гиперэкстензия 3x15,Функционалка 30 мин,Растяжка 15 мин,Йога 30 мин,Жим лёжа 4x8,Плавание 45 мин,Плавание 45 мин
32,79,173,M,Похудение,Продвинутый,6645,Зал,Йога 30 мин,Йога 30 мин,Растяжка 15 мин,Функционалка 30 мин,Плавание 45 мин,Плавание 45 мин,Плавание 45 мин
42,73,177,M,Похудение,Продвинутый,11266,Зал,Плавание 45 мин,Функционалка 30 мин,Растяжка 15 мин,Плавание 45 мин,Растяжка 15 мин,Жим лёжа 4x8,Плавание 45 мин
51,55,163,M,Похудение,Средний,4520,Зал,Шраги 3x12,Шраги 3x12,Тяга штанги в наклоне 4x10,Присед 4x10,Йога 30 мин,Жим лёжа 4x8,Йога 30 мин
19,70,161,M,Похудение,Начинающий,6186,Зал,Гиперэкстензия 3x15,Функционалка 30 мин,Шраги 3x12,Тяга штанги в наклоне 4x10,Гиперэкстензия 3x15,Функционалка 30 мин,Шраги 3x12
32,91,191,M,Похудение,Продвинутый,4216,Зал,Кардио 30 мин,Бег 20 мин,Жим лёжа 4x8,Йога 30 мин,Гиперэкстензия 3x15,Плавание 45 мин,Тяга штанги в наклоне 4x10
31,81,174,M,Похудение,Средний,10479,Зал,Растяжка 15 мин,Шраги 3x12,Кардио 30 мин,Кардио 30 мин,Жим лёжа 4x8,Растяжка 15 мин,Шраги 3x12
53,91,167,F,Похудение,Начинающий,10457,Зал,Йога 30 мин,Бег 20 мин,Функционалка 30 мин,Гиперэкстензия 3x15,Жим лёжа 4x8,Шраги 3x12,Йога 30 мин
30,61,189,M,Похудение,Продвинутый,5169,Зал,Жим лёжа 4x8,Кардио 30 мин,Присед 4x10,Шраги 3x12,Присед 4x10,Присед 4x10,Йога 30 мин
40,61,168,F,Похудение,Продвинутый,7570,Зал,Йога 30 мин,Тяга штанги в наклоне 4x10,Йога 30 мин,Шраги 3x12,Жим лёжа 4x8,Функционалка 30 мин,Жим лёжа 4x8
40,55,179,M,Похудение,Продвинутый,9994,Зал,Функционалка 30 мин,Функционалка 30 мин,Йога 30 мин,Йога 30 мин,Плавание 45 мин,Шраги 3x12,Плавание 45 мин
52,83,168,M,Похудение,Средний,7087,Зал,Функционалка 30 мин,Гиперэкстензия 3x15,Шраги 3x12,Шраги 3x12,Бег 20 мин,Шраги 3x12,Жим лёжа 4x8
41,72,183,M,Похудение,Продвинутый,6395,Зал,Шраги 3x12,Шраги 3x12,Тяга штанги в наклоне 4x10,Жим лёжа 4x8,Плавание 45 мин,Жим лёжа 4x8,Бег 20 мин
28,95,160,M,Похудение,Продвинутый,4944,Зал,Жим лёжа 4x8,Бег 20 мин,Растяжка 15 мин,Кардио 30 мин,Плавание 45 мин,Присед 4x10,Тяга штанги в наклоне 4x10
41,72,164,M,Похудение,Начинающий,4038,Зал,Функционалка 30 мин,Йога 30 мин,Шраги 3x12,Шраги 3x12,Йога 30 мин,Присед 4x10,Плавание 45 мин
20,95,171,F,Похудение,Продвинутый,11420,Зал,Плавание 45 мин,Функционалка 30 мин,Йога 30 мин,Кардио 30 мин,Шраги 3x12,Шраги 3x12,Шраги 3x12
19,83,193,M,Похудение,Средний,9250,Зал,Функционалка 30 мин,Йога 30 мин,Кардио 30 мин,Растяжка 15 мин,Шраги 3x12,Шраги 3x12,Бег 20 мин
25,67,184,M,Похудение,Начинающий,11917,Зал,Бег 20 мин,Шраги 3x12,Растяжка 15 мин,Гиперэкстензия 3x15,Шраги 3x12,Кардио 30 мин,Гиперэкстензия 3x15
55,78,166,M,Похудение,Начинающий,9947,Зал,Растяжка 15 мин,Жим лёжа 4x8,Растяжка 15 мин,Растяжка 15 мин,Функционалка 30 мин,Шраги 3x12,Жим лёжа 4x8
49,73,162,F,Похудение,Начинающий,11984,Зал,Кардио 30 мин,Гиперэкстензия 3x15,Растяжка 15 мин,Плавание 45 мин,Плавание 45 мин,Растяжка 15 мин,Плавание 45 мин
40,74,189,M,Похудение,Продвинутый,11750,Зал,Бег 20 мин,Растяжка 15 мин,Функционалка 30 мин,Растяжка 15 мин,Присед 4x10,Присед 4x10,Присед 4x10
22,72,186,F,Похудение,Продвинутый,9586,Зал,Йога 30 мин,Кардио 30 мин,Присед 4x10,Функционалка 30 мин,Растяжка 15 мин,Йога 30 мин,Шраги 3x12
49,72,172,F,Похудение,Начинающий,7142,Зал,Тяга штанги в наклоне 4x10,Присед 4x10,Йога 30 мин,Йога 30 мин,Бег 20 мин,Тяга штанги в наклоне 4x10,Растяжка 15 мин
54,95,180,F,Похудение,Начинающий,8494,Зал,Тяга штанги в наклоне 4x10,Жим лёжа 4x8,Присед 4x10,Йога 30 мин,Функционалка 30 мин,Бег 20 мин,Йога 30 мин
43,58,176,M,Похудение,Продвинутый,6814,Зал,Йога 30 мин,Жим лёжа 4x8,Кардио 30 мин,Кардио 30 мин,Жим лёжа 4x8,Растяжка 15 мин,Бег 20 мин
21,68,186,F,Похудение,Начинающий,8390,Зал,Присед 4x10,Бег 20 мин,Присед 4x10,Гиперэкстензия 3x15,Плавание 45 мин,Плавание 45 мин,Гиперэкстензия 3x15
23,57,192,F,Похудение,Начинающий,6255,Зал,Гиперэкстензия 3x15,Кардио 30 мин,Бег 20 мин,Йога 30 мин,Шраги 3x12,Кардио 30 мин,Тяга штанги в наклоне 4x10
46,88,190,F,Похудение,Средний,5245,Зал,Плавание 45 мин,Присед 4x10,Йога 30 мин,Жим лёжа 4x8,Присед 4x10,Функционалка 30 мин,Кардио 30 мин
49,66,176,F,Похудение,Начинающий,7639,Зал,Жим лёжа 4x8,Тяга штанги в наклоне 4x10,Присед 4x10,Шраги 3x12,Шраги 3x12,Кардио 30 мин,Тяга штанги в наклоне 4x10
32,60,175,F,Похудение,Продвинутый,4117,Зал,Гиперэкстензия 3x15,Бег 20 мин,Кардио 30 мин,Гиперэкстензия 3x15,Функционалка 30 мин,Шраги 3x12,Функционалка 30 мин
46,77,183,F,Похудение,Начинающий,4979,Зал,Присед 4x10,Йога 30 мин,Тяга штанги в наклоне 4x10,Растяжка 15 мин,Тяга штанги в наклоне 4x10,Плавание 45 мин,Функционалка 30 мин
19,57,180,M,Похудение,Продвинутый,8519,Зал,Присед 4x10,Йога 30 мин,Гиперэкстензия 3x15,Присед 4x10,Тяга штанги в наклоне 4x10,Шраги 3x12,Шраги 3x12
24,82,166,M,Похудение,Начинающий,9761,Зал,Бег 20 мин,Йога 30 мин,Тяга штанги в наклоне 4x10,Гиперэкстензия 3x15,Функционалка 30 мин,Кардио 30 мин,Йога 30 мин
46,84,169,M,Похудение,Средний,4509,Зал,Бег 20 мин,Шраги 3x12,Гиперэкстензия 3x15,Йога 30 мин,Функционалка 30 мин,Бег 20 мин,Функционалка 30 мин
39,84,195,M,Похудение,Начинающий,6029,Дом,Берпи 3x20,Приседания 4x15,Йога 30 мин,Отжимания 4x12,Йога 30 мин,Кардио 25 мин,Кардио 25 мин
52,59,181,F,Похудение,Средний,6788,Дом,Планка 3x1 мин,Планка 3x1 мин,Берпи 3x20,Берпи 3x20,Приседания 4x15,Функционалка 30 мин,Кардио 25 мин
35,61,167,M,Похудение,Начинающий,9011,Дом,Планка 3x1 мин,Планка 3x1 мин,Растяжка 15 мин,Берпи 3x20,Кардио 25 мин,Берпи 3x20,Растяжка 15 мин
22,66,169,F,Похудение,Начинающий,10755,Дом,Приседания 4x15,Растяжка 15 мин,Отжимания 4x12,Планка 3x1 мин,Растяжка 15 мин,Планка 3x1 мин,Кардио 25 мин
52,94,178,M,Похудение,Средний,6290,Дом,Функционалка 30 мин,Растяжка 15 мин,Функционалка 30 мин,Планка 3x1 мин,Функционалка 30 мин,Кардио 25 мин,Растяжка 15 мин
41,95,180,F,Похудение,Начинающий,10758,Дом,Кардио 25 мин,Кардио 25 мин,Функционалка 30 мин,Растяжка 15 мин,Планка 3x1 мин,Кардио 25 мин,Берпи 3x20
